city,date,percentage
Amsterdam,2020-08-23,38
Amsterdam,2020-08-24,45
Amsterdam,2020-08-25,44
Amsterdam,2020-08-26,52
Amsterdam,2020-08-27,45
Amsterdam,2020-08-28,41
Amsterdam,2020-08-29,38
Amsterdam,2020-08-30,37
Amsterdam,2020-08-31,42
Amsterdam,2020-09-01,43
Amsterdam,2020-09-02,42
Amsterdam,2020-09-03,43
Amsterdam,2020-09-04,40
Amsterdam,2020-09-05,39
Amsterdam,2020-09-06,36
Amsterdam,2020-09-07,39
Amsterdam,2020-09-08,44
Amsterdam,2020-09-09,42
Amsterdam,2020-09-10,41
Amsterdam,2020-09-11,39
Amsterdam,2020-09-12,39
Amsterdam,2020-09-13,37
Amsterdam,2020-09-14,41
Amsterdam,2020-09-15,45
Amsterdam,2020-09-16,39
Amsterdam,2020-09-17,39
Amsterdam,2020-09-18,37
Amsterdam,2020-09-19,39
Amsterdam,2020-09-20,36
Amsterdam,2020-09-21,36
Amsterdam,2020-09-22,34
Amsterdam,2020-09-23,34
Amsterdam,2020-09-24,35
Amsterdam,2020-09-25,34
Amsterdam,2020-09-26,34
Amsterdam,2020-09-27,30
Amsterdam,2020-09-28,33
Amsterdam,2020-09-29,32
Amsterdam,2020-09-30,31
Amsterdam,2020-10-01,30
Amsterdam,2020-10-02,28
Amsterdam,2020-10-03,30
Amsterdam,2020-10-04,30
Amsterdam,2020-10-05,30
Amsterdam,2020-10-06,31
Amsterdam,2020-10-07,31
Amsterdam,2020-10-08,32
Amsterdam,2020-10-09,30
Amsterdam,2020-10-10,30
Amsterdam,2020-10-11,28
Amsterdam,2020-10-12,26
Amsterdam,2020-10-13,26
Amsterdam,2020-10-14,26
Amsterdam,2020-10-15,22
Amsterdam,2020-10-16,23
Amsterdam,2020-10-17,19
Amsterdam,2020-10-18,19
Amsterdam,2020-10-19,21
Amsterdam,2020-10-20,21
Amsterdam,2020-10-21,23
Amsterdam,2020-10-22,20
Amsterdam,2020-10-23,19
Amsterdam,2020-10-24,20
Amsterdam,2020-10-25,19
Amsterdam,2020-10-26,23
Amsterdam,2020-10-27,24
Amsterdam,2020-10-28,23
Amsterdam,2020-10-29,23
Amsterdam,2020-10-30,22
Amsterdam,2020-10-31,21
Amsterdam,2020-11-01,19
Amsterdam,2020-11-02,22
Amsterdam,2020-11-03,22
Amsterdam,2020-11-04,22
Amsterdam,2020-11-05,19
Amsterdam,2020-11-06,18
Amsterdam,2020-11-07,19
Amsterdam,2020-11-08,16
Amsterdam,2020-11-09,19
Amsterdam,2020-11-10,20
Amsterdam,2020-11-11,20
Amsterdam,2020-11-12,18
Amsterdam,2020-11-13,17
Amsterdam,2020-11-14,17
Amsterdam,2020-11-15,17
Amsterdam,2020-11-16,19
Amsterdam,2020-11-17,20
Amsterdam,2020-11-18,21
Amsterdam,2020-11-19,19
Amsterdam,2020-11-20,18
Amsterdam,2020-11-21,18
Amsterdam,2020-11-22,16
Amsterdam,2020-11-23,20
Amsterdam,2020-11-24,20
Amsterdam,2020-11-25,22
Amsterdam,2020-11-26,20
Amsterdam,2020-11-27,20
Amsterdam,2020-11-28,20
Amsterdam,2020-11-29,17
Amsterdam,2020-11-30,21
Amsterdam,2020-12-01,22
Amsterdam,2020-12-02,21
Amsterdam,2020-12-03,21
Amsterdam,2020-12-04,19
Amsterdam,2020-12-05,19
Amsterdam,2020-12-06,17
Amsterdam,2020-12-07,22
Amsterdam,2020-12-08,21
Amsterdam,2020-12-09,20
